
61,2023-10-27 18:17:08,20.0,44.0,-33.959863,18.471404,
62,2023-10-27 18:20:10,20.0,45.0,-33.959827,18.471494,person
63,2023-10-27 18:22:13,20.0,45.0,-33.959704,18.471524,
64,2023-10-27 18:22:19,20.0,45.0,-33.959786,18.471443,person
65,2023-10-27 18:36:06,20.0,50.0,-33.959635,18.471594,
66,2023-10-27 18:36:12,20.0,50.0,-33.959635,18.471593,
67,G,19.0,54.0,P,S,
68,G,19.0,55.0,P,S,
69,2023-10-27 18:55:35,18.0,55.0,-33.959637,18.471533,
70,2023-10-27 18:55:40,18.0,55.0,-33.959753,18.47154,
61,2023-10-27 18:17:08,20.0,44.0,-33.959863,18.471404,
62,2023-10-27 18:20:10,20.0,45.0,-33.959827,18.471494,person
63,2023-10-27 18:22:13,20.0,45.0,-33.959704,18.471524,
64,2023-10-27 18:22:19,20.0,45.0,-33.959786,18.471443,person
65,2023-10-27 18:36:06,20.0,50.0,-33.959635,18.471594,
66,2023-10-27 18:36:12,20.0,50.0,-33.959635,18.471593,
67,G,19.0,54.0,P,S,
68,G,19.0,55.0,P,S,
69,2023-10-27 18:55:35,18.0,55.0,-33.959637,18.471533,
70,2023-10-27 18:55:40,18.0,55.0,-33.959753,18.47154,
38.0,25.0,52.6,1,G,P,1
38.0,25.0,52.6,1,G,P,1
38.0,25.0,53.7,1,2023-10-30 05:37:27,-33.959727,1
